Designator,Mid X,Mid Y,Layer,Rotation
C1,27.419,-192.278,Top,0
C2,17.173,-191.008,Top,0
C3,27.404,-190.754,Top,0
C4,18.232,-168.275,Top,90
C5,18.26,-170.307,Top,180
C6,17.145,-177.165,Top,0
C7,18.204,-171.323,Top,0
C8,18.232,-173.355,Top,180
C9,23.947,-168.783,Top,0
C10,20.391,-168.783,Top,0
C11,18.204,-172.339,Top,180
C12,28.194,-177.165,Top,-90
C13,26.048,-177.165,Top,0
C14,26.614,-173.637,Top,90
C15,26.106,-172.212,Top,0
C16,25.598,-173.637,Top,90
C17,26.995,-170.688,Top,90
C18,27.126,-168.807,Top,90
C19,22.197,-166.116,Top,180
C20,20.038,-166.116,Top,180
C21,24.427,-166.116,Top,0
C22,17.851,-166.116,Top,180
FB1,29.845,-179.4255,Top,-90
FB2,29.845,-176.022,Top,90
R1,25.398,-190.754,Top,180
R2,24.074,-175.514,Top,0
R3,25.979,-170.714,Top,90
R4,25.983,-168.781,Top,90
R5,23.947,-163.324,Top,90
R6,21.407,-163.324,Top,90
R7,26.36,-163.324,Top,90
R8,18.994,-163.324,Top,90
U1,22.352,-184.15,Top,0
U2,22.058,-172.1295,Top,-90
